name,count
these,137
soul,137
where,136
out,134
through,133
now,133
this,130
we,127
love,125
man,124
here,123
its,122
earth,122
old,121
life,119
your,118
her,118
am,115
there,114
do,112
men,111
more,110
long,108
no,107
day,107
than,103
thee,100
him,100
so,96
over,95
well,94
has,93
thy,91
nor,91
yet,90
who,90
time,90
myself,88
great,86
know,85
she,83
hear,83
every,83
any,83
those,82
only,82
night,81
come,81
death,79
thou,78
some,78
how,78
own,77
poems,76
was,75
up,74
pass,73
women,71
upon,69
body,68
lands,66
if,66
good,66
sea,65
each,65
again,64
new,61
go,61
world,60
woman,60
think,60
nothing,59
land,59
ever,59
can,58
states,57
same,57
like,57
hand,56
young,55
mother,54
others,53
other,53
beautiful,53
after,51
many,50
look,50
never,49
perfect,48
give,48
an,48
sun,47
place,47
make,47
far,47
down,47
rest,46
light,46
us,45
much,45
head,45
dead,45
away,45
words,44
take,44
say,44
our,44
before,44
air,44
strong,43
eyes,43
america,43
toward,42
too,42
stand,41
may,41
back,41
always,41
work,40
sweet,40
blood,40
last,39
full,39
things,38
then,38
part,38
white,37
while,37
war,37
red,37
off,37
face,37
city,37
around,37
would,36
without,36
which,36
when,36
thought,36
side,36
past,36
just,36
itself,36
were,35
ship,35
little,35
god,35
been,35
under,34
does,34
forth,33
behold,33
years,32
such,32
race,32
let,32
joy,32
call,32
beauty,32
voice,31
joys,31
enough,31
water,30
themselves,30
song,30
house,30
home,30
high,30
hands,30
close,30
trees,29
sing,29
shapes,29
shape,29
fill,29
fields,29
divine,29
children,29
cannot,29
also,29
real,28
living,28
grass,28
another,28
whole,27
still,27
something,27
silent,27
present,27
peace,27
music,27
hair,27
free,27
dark,27
cities,27
best,27
arms,27
along,27
welcome,26
songs,26
sleep,26
shore,26
return,26
none,26
nature,26
clear,26
woods,25
way,25
waves,25
vast,25
turn,25
true,25
saw,25
north,25
must,25
large,25
heart,25
heard,25
form,25
first,25
child,25
breast,25
alone,25
wild,24
walk,24
stars,24
law,24
goes,24
days,24
arm,24
among,24
yourself,23
two,23
space,23
sound,23
served,23
people,23
mountains,23
future,23
fall,23
else,23
dear,23
till,22
tell,22
singing,22
ships,22
seas,22
sail,22
rise,22
poet,22
himself,22
feet,22
within,21
whatever,21
touch,21
stands,21
sky,21
singer,21
persons,21
open,21
once,21
neck,21
near,21
lo,21
human,21
heroes,21
happy,21
had,21
forever,21
fire,21
dream,21
done,21
crowd,21
could,21
chant,21
born,21
west,20
spirit,20
son,20
singers,20
round,20
poets,20
person,20
nations,20
mine,20
limbs,20
ground,20
female,20
black,20
bards,20
winds,19
why,19
waters,19
voices,19
times,19
show,19
should,19
rivers,19
most,19
live,19
